counter,    accel.x,    accel.y,    accel.z,    gyro.p,    gyro.q,    gyro.r,    rot->phi,    rot->theta,    rot->psi,    rates->p,    rates->q,    rates->r,    pos->x, pos->y, pos->z,    COMMAND_THRUST,    COMMAND_ROLL,    COMMAND_PITCH,    COMMAND_YAW,    rpm_obs[0],    rpm_obs[1],    rpm_obs[2],    rpm_obs[3],    dr_state.x,    dr_state.y,    ctrl.cmd.phi,    ctrl.cmd.theta
2208,976,-4,-11190,-316,87,-146,0.000549,-0.001221,-1.369355,-0.043213,0.035156,-0.041504,-3.328125,3.218750,-0.968750,5250,-47,-180,-94,7774,7829,8120,7935,-8.815958,2.857016,0.016602,-0.001709
2209,386,-334,-12091,-477,-357,106,0.000305,-0.001404,-1.369355,-0.082520,-0.073242,0.020020,-3.328125,3.218750,-0.968750,5250,-20,-102,-101,7774,7824,8118,7928,-8.816095,2.857424,0.016602,-0.001709
2210,1478,-444,-8808,-387,52,372,0.000244,-0.001343,-1.369295,-0.060547,0.026611,0.084961,-3.328125,3.218750,-0.968750,5250,-30,-168,-121,7782,7821,8128,7944,-8.816233,2.857832,0.016602,-0.001709
2211,693,-448,-5366,228,993,141,0.000366,-0.000793,-1.369188,0.089600,0.256348,0.028564,-3.328125,3.207031,-0.968750,5250,-120,-334,-132,7790,7822,8128,7938,-8.816369,2.858239,0.016602,-0.001709
2212,-2088,-697,-9628,499,326,-355,0.000610,-0.000610,-1.369212,0.155762,0.093506,-0.092529,-3.328125,3.207031,-0.968750,5250,-170,-242,-121,7784,7803,8100,7949,-8.816505,2.858646,0.016602,-0.001709
2213,-2159,-207,-12761,159,-802,-316,0.000793,-0.000977,-1.369391,0.072754,-0.181885,-0.083008,-3.328125,3.207031,-0.968750,5250,-136,-57,-110,7800,7806,8118,7945,-8.816642,2.859052,0.016602,-0.001709
2214,1284,997,-10358,-41,-684,159,0.000854,-0.001343,-1.369379,0.023926,-0.153076,0.032959,-3.328125,3.207031,-0.968750,5250,-115,-60,-119,7802,7810,8120,7936,-8.816778,2.859458,0.016602,-0.001709
2215,2032,736,-9759,-21,167,78,0.000916,-0.001282,-1.369379,0.028809,0.054688,0.013184,-3.328125,3.207031,-0.968750,5250,-121,-188,-124,7805,7812,8115,7936,-8.816915,2.859864,0.016602,-0.001709
2216,1232,112,-12995,-313,573,-128,0.000793,-0.000977,-1.369391,-0.042480,0.153809,-0.037109,-3.328125,3.207031,-0.968750,5250,-79,-261,-120,7806,7814,8101,7937,-8.817051,2.860270,0.016602,-0.001709
2217,-1704,-502,-9425,-514,185,47,0.000610,-0.000793,-1.369391,-0.091553,0.059082,0.005615,-3.328125,3.207031,-0.968750,5250,-44,-209,-125,7788,7815,8107,7934,-8.817186,2.860675,0.016602,-0.001709
